Model,Averaging,Accuracy,Precision,Recall,F1-score,ConfM-00,ConfM-01,ConfM-10,ConfM-11
ann_conv,3,0.6877053260328522,0.6783833464252044,0.707834793491865,0.6924296937721438,2698.6,1342.4,1167.2,2827.8
ann_lstm,3,0.6624191139870581,0.6593579471538208,0.6643053817271589,0.6616802981062996,2669.3,1371.7,1341.1,2653.9
snn_conv,3,0.6876499999999999,0.6767559797052826,0.7069461985349835,0.69115769706436,2702.4,1338.6,1160.2,2798.8
snn_lmu,3,0.5900875,0.6174353837754472,0.45367517049760037,0.5222303249570246,2924.6,1116.4,2162.9,1796.1
ann_conv,6,0.6760826281732204,0.6659533807572384,0.6996245306633291,0.682158485233993,2638.0,1403.0,1200.0,2795.0
ann_lstm,6,0.6577775012444003,0.6566161909451591,0.6557446808510639,0.6554724870326705,2666.2,1374.8,1375.3,2619.7
snn_conv,6,0.6758124999999999,0.6639031146188551,0.6990149027532205,0.6807908067039262,2639.1,1401.9,1191.6,2767.4
snn_lmu,6,0.5856750000000001,0.5909371951115494,0.5448850719878757,0.5630079869393972,2528.2,1512.8,1801.8,2157.2
ann_conv,9,0.6613738178198109,0.6482569047016001,0.698322903629537,0.671860871519238,2525.0,1516.0,1205.2,2789.8
ann_lstm,9,0.6523270283723245,0.6466076467029425,0.664881101376721,0.65513883417451,2585.9,1455.1,1338.8,2656.2
snn_conv,9,0.6609125,0.6458804029119208,0.6983076534478404,0.6705445691531466,2522.7,1518.3,1194.4,2764.6
snn_lmu,9,0.594,0.5977145357763355,0.5567567567567567,0.5751061226982042,2547.8,1493.2,1754.8,2204.2
ann_conv,12,0.6589596814335491,0.6505165727284945,0.6794743429286608,0.6643700361282331,2580.9,1460.1,1280.5,2714.5
ann_lstm,12,0.6478471876555499,0.6346186748865105,0.6885106382978723,0.660210519731371,2455.5,1585.5,1244.4,2750.6
snn_conv,12,0.6586624999999999,0.648329550603314,0.6789845920687043,0.6629981287345723,2581.2,1459.8,1270.9,2688.1
snn_lmu,12,0.5993375,0.6019967010148307,0.5641576155594847,0.5818496402148069,2561.2,1479.8,1725.5,2233.5
ann_conv,15,0.6525510204081633,0.6455407766584069,0.6683103879849812,0.6565399161496471,2574.0,1467.0,1325.1,2669.9
ann_lstm,15,0.6406296665007465,0.6254856556721677,0.6922653316645807,0.6567974195492368,2382.5,1658.5,1229.4,2765.6
snn_conv,15,0.6524500000000001,0.6434542210737473,0.6682242990654206,0.6554263230339987,2574.1,1466.9,1313.5,2645.5
snn_lmu,15,0.592775,0.5896812937688,0.5959080575903005,0.5916593315716863,2383.0,1658.0,1599.8,2359.2
